index,time,data
370,1597991046620869268,1898
371,1597991046620898546,1894
372,1597991046620922556,1896
373,1597991046620948276,1904
374,1597991046664868705,1901
375,1597991046665210552,1898
376,1597991046665283854,1896
377,1597991046665332227,1894
378,1597991046665379777,1896
379,1597991046708925435,1899
380,1597991046709043866,1896
381,1597991046709109325,1894
382,1597991046709193090,1901
383,1597991046709279965,1898
384,1597991046718059437,1894
385,1597991046760792810,1896
386,1597991046760875308,1894
387,1597991046760903309,1898
388,1597991046760928602,1894
389,1597991046804810085,1902
390,1597991046804886484,1896
391,1597991046804914146,1894
392,1597991046804939839,1906
393,1597991046804968996,1894
394,1597991046848926012,1898
395,1597991046849110369,1898
396,1597991046849160494,1894
397,1597991046849291361,1901
398,1597991046849372638,1896
399,1597991046892720121,1896
400,1597991046892786714,1896
401,1597991046892815427,1896
402,1597991046892846400,1896
403,1597991046892878225,1896
404,1597991046940726839,1902
405,1597991046940794812,1894
406,1597991046940823294,1896
407,1597991046940854142,1894
408,1597991046940883379,1891
409,1597991046984725293,1902
410,1597991046984792955,1902
411,1597991046984820029,1896
412,1597991046984843583,1894
413,1597991046984867293,1904
414,1597991047028739579,1899
415,1597991047028806317,1898
416,1597991047028833081,1902
417,1597991047028857203,1896
418,1597991047029938822,1891
419,1597991047039610251,1896
420,1597991047080719094,1896
421,1597991047080907921,1894
422,1597991047080966856,1901
423,1597991047081005781,1896
424,1597991047128739899,1896
425,1597991047128820989,1902
426,1597991047128846965,1896
427,1597991047128874234,1896
428,1597991047128904219,1906
429,1597991047172782796,1896
430,1597991047172876877,1896
431,1597991047172921911,1896
432,1597991047172983616,1893
433,1597991047173015891,1896
434,1597991047220758462,1906
435,1597991047220837572,1904
437,1597991047220866583,1896
438,1597991047220892795,1896
439,1597991047264767077,1896
440,1597991047264889915,1894
441,1597991047264942101,1898
442,1597991047264993990,1898
443,1597991047265067202,1906
444,1597991047308776799,1894
445,1597991047308864306,1896
446,1597991047308889442,1899
447,1597991047308947806,1896
448,1597991047309010895,1893
449,1597991047356759961,1896
450,1597991047356816771,1894
451,1597991047356859323,1894
452,1597991047356877347,1896
453,1597991047356946715,1896
454,1597991047400749489,1896
455,1597991047400847397,1894
456,1597991047400875113,1896
457,1597991047400901489,1896
458,1597991047400927379,1894
459,1597991047448750578,1896
460,1597991047448850738,1902
461,1597991047448908098,1894
462,1597991047448933130,1896
463,1597991047448994528,1901
464,1597991047492749799,1902
465,1597991047492849310,1894
466,1597991047492865636,1893
467,1597991047492879026,1896
468,1597991047492894162,1899
469,1597991047536736607,1896
470,1597991047536812873,1898
471,1597991047536853001,1894
472,1597991047536898904,1899
473,1597991047536930412,1894
474,1597991047580808981,1898
475,1597991047580871465,1891
476,1597991047580897157,1896
477,1597991047580916873,1898
478,1597991047581191032,1902
479,1597991047590802333,1894
480,1597991047636766284,1896
481,1597991047636837543,1893
482,1597991047636875664,1899
483,1597991047636923960,1896
484,1597991047636941562,1906
485,1597991047680874892,1896
486,1597991047681034237,1896
487,1597991047681065145,1894
488,1597991047681109648,1896
489,1597991047682672170,1896
490,1597991047691537226,1906
491,1597991047732807559,1902
493,1597991047732905110,1896
494,1597991047732938850,1896
495,1597991047776742559,1898
496,1597991047776839673,1894
497,1597991047776865953,1896
498,1597991047776890052,1894
499,1597991047776917757,1904
500,1597991047820784927,1891
501,1597991047820843302,1896
502,1597991047820859983,1899
503,1597991047820893586,1898
504,1597991047820913130,1901
506,1597991047864716914,1899
507,1597991047864799377,1894
508,1597991047864825941,1902
509,1597991047866717783,1894
510,1597991047875497893,1894
511,1597991047916708768,1901
512,1597991047916819394,1904
513,1597991047916869701,1889
514,1597991047916914215,1896
515,1597991047960756390,1891
516,1597991047960865345,1898
517,1597991047960922767,1896
518,1597991047960948213,1896
519,1597991047960976582,1901
520,1597991048004738670,1894
521,1597991048004826816,1901
522,1597991048004869471,1896
523,1597991048004918575,1893
524,1597991048004981677,1901
525,1597991048048731657,1896
526,1597991048048822650,1894
527,1597991048048851121,1896
529,1597991048049763763,1894
530,1597991048059557471,1896
531,1597991048100734563,1901
532,1597991048100888029,1896
533,1597991048100958241,1898
534,1597991048100985311,1902
535,1597991048144778484,1896
537,1597991048144837872,1894
538,1597991048144885237,1899
539,1597991048144906651,1902
541,1597991048188829941,1896
542,1597991048188907759,1894
543,1597991048188932224,1894
544,1597991048188959442,1899
545,1597991048232721214,1896
546,1597991048232788390,1891
547,1597991048232816162,1902
548,1597991048232839604,1889
549,1597991048233833988,1902
550,1597991048242747144,1896
551,1597991048284806247,1896
552,1597991048284866179,1896
553,1597991048284916435,1896
554,1597991048284985200,1896
555,1597991048332766204,1894
556,1597991048332872074,1893
557,1597991048332898731,1899
558,1597991048332955191,1896
559,1597991048332997020,1896
560,1597991048376771721,1894
561,1597991048376831046,1896
562,1597991048376877951,1898
563,1597991048376934844,1898
564,1597991048376955213,1891
565,1597991048420799169,1894
566,1597991048420881845,1894
567,1597991048420913351,1896
568,1597991048420960216,1896
570,1597991048464742639,1894
571,1597991048464823140,1896
572,1597991048464897458,1891
573,1597991048464959997,1896
574,1597991048465008855,1893
575,1597991048512735819,1896
576,1597991048512815372,1896
577,1597991048512856079,1904
578,1597991048512901580,1896
579,1597991048512963800,1896
581,1597991048556719649,1894
582,1597991048556771877,1891
583,1597991048556814981,1904
584,1597991048556844469,1891
585,1597991048600690211,1896
586,1597991048600773234,1896
587,1597991048600817213,1902
588,1597991048600871374,1894
589,1597991048600995762,1902
590,1597991048609940851,1894
591,1597991048652778687,1901
592,1597991048652842738,1893
593,1597991048652889760,1894
594,1597991048652923938,1891
595,1597991048700754116,1896
596,1597991048700831944,1898
597,1597991048700886403,1899
598,1597991048700906228,1901
599,1597991048700955957,1896
