index,time,data
443,1598235556382767075,1902
444,1598235556382859814,1909
445,1598235556382900427,1896
446,1598235556382939144,1899
447,1598235556382975151,1901
448,1598235556430917129,1896
449,1598235556431006184,1902
450,1598235556431037972,1901
451,1598235556431070934,1901
452,1598235556431109408,1904
453,1598235556474860404,1896
454,1598235556475063914,1899
455,1598235556475136652,1894
456,1598235556475206984,1896
457,1598235556475275590,1902
458,1598235556518837705,1899
459,1598235556518961805,1901
460,1598235556519022080,1898
461,1598235556519072269,1901
462,1598235556519124845,1901
463,1598235556528859930,1901
464,1598235556570818597,1899
465,1598235556570896224,1899
466,1598235556570922498,1901
467,1598235556570950582,1899
468,1598235556618764418,1898
469,1598235556618874781,1896
470,1598235556618906911,1901
471,1598235556618939011,1896
472,1598235556618971055,1901
473,1598235556662936209,1896
474,1598235556663010801,1901
475,1598235556663032326,1899
476,1598235556663057553,1902
477,1598235556663080674,1898
478,1598235556706767103,1899
479,1598235556706841166,1898
480,1598235556706863014,1898
481,1598235556706881442,1901
482,1598235556706908632,1898
483,1598235556754824215,1899
484,1598235556754907992,1901
485,1598235556754942651,1901
486,1598235556754982223,1901
487,1598235556755022757,1899
488,1598235556798789833,1898
489,1598235556798874310,1899
490,1598235556798900659,1907
491,1598235556798960572,1901
492,1598235556799003100,1907
493,1598235556842880242,1899
494,1598235556842959477,1896
495,1598235556843001050,1898
496,1598235556843032549,1896
497,1598235556843842462,1901
498,1598235556853501892,1898
499,1598235556894867588,1901
500,1598235556894969435,1898
501,1598235556895004730,1899
502,1598235556895037794,1899
503,1598235556938845739,1899
504,1598235556938994899,1901
505,1598235556975441214,1899
506,1598235556975501440,1898
507,1598235556975548093,1902
508,1598235556982759205,1901
509,1598235556982844519,1899
510,1598235556982875727,1899
511,1598235556982916187,1907
512,1598235556983121447,1901
513,1598235556992776795,1901
514,1598235557038779085,1901
515,1598235557038871768,6000
516,1598235557038906245,1896
517,1598235557038935352,1896
518,1598235557082756697,1899
519,1598235557082835145,1896
520,1598235557082864489,1896
521,1598235557082891269,1901
522,1598235557082916739,1901
523,1598235557126890320,1901
524,1598235557127133679,1909
525,1598235557127200482,1898
526,1598235557127241116,1902
527,1598235557127278388,1896
528,1598235557170795213,6000
529,1598235557170876151,1901
530,1598235557170904525,1904
531,1598235557170928206,1896
532,1598235557170955205,1901
533,1598235557214939756,1899
534,1598235557215215564,1901
535,1598235557215341872,1899
536,1598235557215438292,1901
537,1598235557215553279,1901
538,1598235557225081624,1898
539,1598235557266793240,1901
540,1598235557266868762,1899
541,1598235557266892376,1899
542,1598235557266912578,1902
543,1598235557310942580,1901
544,1598235557311010741,1907
545,1598235557311029010,1901
546,1598235557311047112,1896
547,1598235557311066035,1898
548,1598235557354810988,1901
549,1598235557354893052,1901
550,1598235557354911236,6000
551,1598235557354927524,1902
552,1598235557354942656,1898
553,1598235557399039017,1901
554,1598235557399232821,1896
555,1598235557399290269,1899
556,1598235557399343780,1902
557,1598235557400871708,1901
558,1598235557410421910,1896
559,1598235557450729053,1901
560,1598235557450808231,1904
561,1598235557450838494,1899
562,1598235557450860967,1901
563,1598235557494854785,1901
564,1598235557494926161,6000
565,1598235557494985811,1901
566,1598235557495021895,1899
567,1598235557495055806,1898
568,1598235557538808962,1896
569,1598235557538887028,1901
570,1598235557538908498,1901
571,1598235557538927673,1901
572,1598235557540070973,1899
573,1598235557549359801,1899
574,1598235557590853778,1896
575,1598235557590937449,1896
576,1598235557590966919,1896
577,1598235557590996470,1898
578,1598235557634787764,1899
579,1598235557634868870,1898
580,1598235557634895593,1899
581,1598235557634917256,1898
582,1598235557634941403,1907
583,1598235557678974110,1899
584,1598235557679216091,1902
585,1598235557679319372,1896
586,1598235557679407832,1902
587,1598235557679505677,1901
588,1598235557722760932,1896
589,1598235557722853214,1899
590,1598235557722878799,1898
591,1598235557722897670,1901
592,1598235557724941817,1901
593,1598235557734477982,1896
594,1598235557775086365,1898
595,1598235557775354422,1899
596,1598235557775483035,1902
597,1598235557775597396,1899
598,1598235557818771654,1901
599,1598235557818862090,1899
600,1598235557818884303,1901
601,1598235557818902929,1898
602,1598235557818920762,1901
603,1598235557862950450,1909
604,1598235557863024022,1907
605,1598235557863057233,1909
606,1598235557863084745,1901
607,1598235557864186333,1899
608,1598235557872905658,1899
